synthetic_id,home_zcta,home_county,source_atl_workers,adoption_percentile,synthetic_generation_version,schedule_model_version,destination_model_version,schedule_type,shift_family,work_days,shift_hours,shift_start_time,shift_end_time,crosses_midnight,airport_destination,nearest_marta_station,distance_to_marta_miles,marta_access_tier,marta_inbound_days_supported,marta_outbound_days_supported,marta_round_trip_days_supported,marta_schedule_support_percent,marta_schedule_status,final_mile_validation_required,marta_candidate
SYN-00029,30349,"Fulton County, GA",1863,1.601,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,midday,mon|tue|wed|thu|fri,8,11:45,19:45,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,false,true
SYN-00030,30349,"Fulton County, GA",1863,0.213,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,fri|sat|sun|mon|tue,8,04:45,12:45,false,Delta TechOps,AIRPORT STATION,4.64,short_drive,0,5,0,0.0,none,true,false
SYN-00031,30349,"Fulton County, GA",1863,7.893,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,overnight,tue|wed|thu|fri|sat,8,19:30,03:30,true,Domestic Terminal,AIRPORT STATION,4.64,short_drive,5,3,3,60.0,partial,false,false
SYN-00032,30349,"Fulton County, GA",1863,1.023,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,early_am,sat|sun|mon|tue,10,05:00,15:00,false,Delta TechOps,AIRPORT STATION,4.64,short_drive,0,4,0,0.0,none,true,false
SYN-00033,30349,"Fulton County, GA",1863,3.777,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,mon|tue|wed|thu|fri,8,05:45,13:45,false,Delta TechOps,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,true,true
SYN-00034,30349,"Fulton County, GA",1863,7.329,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,part_time,early_am,thu|tue|sat|wed,5,06:00,11:00,false,Delta TechOps,AIRPORT STATION,4.64,short_drive,3,4,3,75.0,partial,true,false
SYN-00035,30349,"Fulton County, GA",1863,5.852,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,day,thu|fri|sat|sun,10,07:45,17:45,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,4,4,4,100.0,full,false,true
SYN-00036,30349,"Fulton County, GA",1863,8.440,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,midday,thu|fri|sat|sun,10,14:00,00:00,true,International Terminal,AIRPORT STATION,4.64,short_drive,4,4,4,100.0,full,true,true
SYN-00037,30349,"Fulton County, GA",1863,2.757,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,evening,mon|tue|wed|thu|fri,8,16:45,00:45,true,Other Airport Area,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,true,true
SYN-00038,30349,"Fulton County, GA",1863,0.816,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,overnight,mon|tue|wed|thu,10,19:30,05:30,true,Delta TechOps,AIRPORT STATION,4.64,short_drive,4,4,4,100.0,full,true,true
SYN-00039,30349,"Fulton County, GA",1863,8.167,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,midday,wed|thu|fri|sat|sun,8,12:15,20:15,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,false,true
SYN-00040,30349,"Fulton County, GA",1863,5.783,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,wed|thu|fri|sat|sun,8,06:00,14:00,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,3,5,3,60.0,partial,false,false
SYN-00041,30349,"Fulton County, GA",1863,5.809,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,early_am,fri|sat|sun|mon,10,05:45,15:45,false,South Cargo Area,AIRPORT STATION,4.64,short_drive,2,4,2,50.0,partial,true,false
SYN-00042,30349,"Fulton County, GA",1863,9.357,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,midday,wed|thu|fri|sat|sun,8,12:30,20:30,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,false,true
SYN-00043,30349,"Fulton County, GA",1863,6.057,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,wed|thu|fri|sat|sun,8,05:15,13:15,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,3,5,3,60.0,partial,false,false
SYN-00044,30349,"Fulton County, GA",1863,4.446,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,day,mon|tue|wed|thu|fri,8,08:30,16:30,false,North Cargo Area,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,true,true
SYN-00045,30349,"Fulton County, GA",1863,2.087,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,day,mon|tue|wed|thu|fri,8,07:15,15:15,false,Delta TechOps,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,true,true
SYN-00046,30349,"Fulton County, GA",1863,9.308,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,mon|tue|wed|thu|fri,8,06:15,14:15,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,false,true
SYN-00047,30349,"Fulton County, GA",1863,6.866,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,wed|thu|fri|sat|sun,8,04:30,12:30,false,Other Airport Area,AIRPORT STATION,4.64,short_drive,0,5,0,0.0,none,true,false
SYN-00048,30349,"Fulton County, GA",1863,5.476,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,sat|sun|mon|tue|wed,8,04:45,12:45,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,0,5,0,0.0,none,false,false
SYN-00049,30349,"Fulton County, GA",1863,5.898,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,thu|fri|sat|sun|mon,8,04:30,12:30,false,Delta G.O.,AIRPORT STATION,4.64,short_drive,0,5,0,0.0,none,true,false
SYN-00050,30349,"Fulton County, GA",1863,3.559,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,day,fri|sat|sun|mon|tue,8,06:30,14:30,false,Delta G.O.,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,true,true
SYN-00051,30349,"Fulton County, GA",1863,5.837,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,mon|tue|wed|thu|fri,8,04:15,12:15,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,0,5,0,0.0,none,false,false
SYN-00052,30349,"Fulton County, GA",1863,2.046,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,midday,mon|tue|wed|thu|fri,8,12:45,20:45,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,false,true
SYN-00053,30349,"Fulton County, GA",1863,3.085,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,evening,tue|wed|thu|fri,10,19:00,05:00,true,North Cargo Area,AIRPORT STATION,4.64,short_drive,4,4,4,100.0,full,true,true
SYN-00054,30349,"Fulton County, GA",1863,5.307,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,day,wed|thu|fri|sat|sun,8,08:00,16:00,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,false,true
SYN-00055,30349,"Fulton County, GA",1863,7.546,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,thu|fri|sat|sun|mon,8,06:30,14:30,false,South Cargo Area,AIRPORT STATION,4.64,short_drive,3,5,3,60.0,partial,true,false
SYN-00056,30349,"Fulton County, GA",1863,1.917,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,wed|thu|fri|sat|sun,8,04:45,12:45,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,0,5,0,0.0,none,false,false
SYN-00057,30349,"Fulton County, GA",1863,1.037,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,overnight,sat|sun|mon|tue,10,21:45,07:45,true,Delta TechOps,AIRPORT STATION,4.64,short_drive,4,4,4,100.0,full,true,true
SYN-00058,30349,"Fulton County, GA",1863,0.193,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,midday,mon|tue|wed|thu|fri,8,13:45,21:45,false,International Terminal,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,true,true
SYN-00059,30349,"Fulton County, GA",1863,5.741,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,fri|sat|sun|mon|tue,8,04:30,12:30,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,0,5,0,0.0,none,false,false
SYN-00060,30349,"Fulton County, GA",1863,9.782,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,day,wed|thu|fri|sat|sun,8,08:00,16:00,false,Other Airport Area,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,true,true
SYN-00061,30349,"Fulton County, GA",1863,6.044,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,evening,thu|fri|sat|sun|mon,8,16:15,00:15,true,North Cargo Area,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,true,true
SYN-00062,30349,"Fulton County, GA",1863,3.544,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,evening,fri|sat|sun|mon|tue,8,18:00,02:00,true,International Terminal,AIRPORT STATION,4.64,short_drive,5,0,0,0.0,none,true,false
SYN-00063,30349,"Fulton County, GA",1863,0.414,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,overnight,thu|fri|sat|sun|mon,8,19:45,03:45,true,Delta TechOps,AIRPORT STATION,4.64,short_drive,5,3,3,60.0,partial,true,false
SYN-00064,30349,"Fulton County, GA",1863,1.461,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,evening,mon|tue|wed|thu,10,17:30,03:30,true,South Cargo Area,AIRPORT STATION,4.64,short_drive,4,4,4,100.0,full,true,true
SYN-00065,30349,"Fulton County, GA",1863,9.902,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,early_am,mon|tue|wed|thu,10,06:15,16:15,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,4,4,4,100.0,full,false,true
SYN-00066,30349,"Fulton County, GA",1863,9.592,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,mon|tue|wed|thu|fri,8,03:45,11:45,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,0,5,0,0.0,none,false,false
SYN-00067,30349,"Fulton County, GA",1863,8.868,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,day,mon|tue|wed|thu|fri,8,09:15,17:15,false,International Terminal,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,true,true
SYN-00068,30349,"Fulton County, GA",1863,6.249,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,midday,tue|wed|thu|fri|sat,8,11:00,19:00,false,North Cargo Area,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,true,true
SYN-00069,30349,"Fulton County, GA",1863,6.136,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,day,sat|sun|mon|tue|wed,8,06:45,14:45,false,North Cargo Area,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,true,true
SYN-00070,30349,"Fulton County, GA",1863,3.927,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,overnight,mon|tue|wed|thu|fri,8,23:30,07:30,true,Domestic Terminal,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,false,true
SYN-00071,30349,"Fulton County, GA",1863,1.136,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,fri|sat|sun|mon|tue,8,03:45,11:45,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,0,5,0,0.0,none,false,false
SYN-00072,30349,"Fulton County, GA",1863,7.585,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,day,fri|sat|sun|mon,10,06:45,16:45,false,South Cargo Area,AIRPORT STATION,4.64,short_drive,4,4,4,100.0,full,true,true
SYN-00073,30349,"Fulton County, GA",1863,6.858,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,early_am,tue|wed|thu|fri,10,04:00,14:00,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,0,4,0,0.0,none,false,false
SYN-00074,30349,"Fulton County, GA",1863,5.194,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,day,tue|wed|thu|fri|sat,8,07:15,15:15,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,false,true
SYN-00075,30349,"Fulton County, GA",1863,8.537,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,day,tue|wed|thu|fri|sat,8,07:15,15:15,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,false,true
SYN-00076,30349,"Fulton County, GA",1863,5.372,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,midday,mon|tue|wed|thu|fri,8,10:15,18:15,false,South Cargo Area,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,true,true
SYN-00077,30349,"Fulton County, GA",1863,2.734,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,midday,mon|tue|wed|thu|fri,8,14:00,22:00,false,Rental Car Center,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,false,true
SYN-00078,30349,"Fulton County, GA",1863,0.569,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,midday,mon|tue|wed|thu|fri,8,10:15,18:15,false,Other Airport Area,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,true,true
SYN-00079,30349,"Fulton County, GA",1863,5.654,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,part_time,early_am,mon|fri|thu,5,05:15,10:15,false,Other Airport Area,AIRPORT STATION,4.64,short_drive,3,3,3,100.0,full,true,true
SYN-00080,30349,"Fulton County, GA",1863,7.810,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,day,wed|thu|fri|sat,10,06:45,16:45,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,4,4,4,100.0,full,false,true
SYN-00081,30349,"Fulton County, GA",1863,7.062,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,mon|tue|wed|thu|fri,8,04:45,12:45,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,0,5,0,0.0,none,false,false
SYN-00082,30349,"Fulton County, GA",1863,1.317,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,early_am,wed|thu|fri|sat,10,04:00,14:00,false,Rental Car Center,AIRPORT STATION,4.64,short_drive,0,4,0,0.0,none,false,false
SYN-00083,30349,"Fulton County, GA",1863,4.298,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,day,mon|tue|wed|thu|fri,8,07:15,15:15,false,International Terminal,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,true,true
SYN-00084,30349,"Fulton County, GA",1863,2.316,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,overnight,thu|fri|sat|sun|mon,8,22:30,06:30,true,Domestic Terminal,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,false,true
SYN-00085,30349,"Fulton County, GA",1863,5.393,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,midday,mon|tue|wed|thu|fri,8,11:30,19:30,false,North Cargo Area,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,true,true
SYN-00086,30349,"Fulton County, GA",1863,9.476,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,evening,fri|sat|sun|mon|tue,8,14:30,22:30,false,South Cargo Area,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,true,true
SYN-00087,30349,"Fulton County, GA",1863,7.073,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,part_time,evening,wed|mon|thu|sat,6,15:45,21:45,false,Delta TechOps,AIRPORT STATION,4.64,short_drive,4,4,4,100.0,full,true,true
SYN-00088,30349,"Fulton County, GA",1863,3.495,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,day,mon|tue|wed|thu|fri,8,09:45,17:45,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,false,true
SYN-00089,30349,"Fulton County, GA",1863,2.547,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,day,thu|fri|sat|sun|mon,8,07:45,15:45,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,false,true
SYN-00090,30349,"Fulton County, GA",1863,7.611,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,early_am,thu|fri|sat|sun,10,04:45,14:45,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,0,4,0,0.0,none,false,false
SYN-00091,30349,"Fulton County, GA",1863,2.302,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,midday,mon|tue|wed|thu|fri,8,13:30,21:30,false,South Cargo Area,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,true,true
SYN-00092,30349,"Fulton County, GA",1863,9.781,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,evening,thu|fri|sat|sun|mon,8,14:30,22:30,false,Other Airport Area,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,true,true
SYN-00093,30349,"Fulton County, GA",1863,9.549,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,evening,wed|thu|fri|sat,10,15:00,01:00,true,Delta G.O.,AIRPORT STATION,4.64,short_drive,4,4,4,100.0,full,true,true
SYN-00094,30349,"Fulton County, GA",1863,7.626,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,day,sat|sun|mon|tue,10,07:00,17:00,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,4,4,4,100.0,full,false,true
SYN-00095,30349,"Fulton County, GA",1863,1.550,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,day,fri|sat|sun|mon,10,09:45,19:45,false,South Cargo Area,AIRPORT STATION,4.64,short_drive,4,4,4,100.0,full,true,true
SYN-00096,30349,"Fulton County, GA",1863,1.084,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,midday,tue|wed|thu|fri|sat,8,12:00,20:00,false,North Cargo Area,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,true,true
SYN-00097,30349,"Fulton County, GA",1863,8.612,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,part_time,early_am,sat|mon|sun,6,05:30,11:30,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,1,3,1,33.3,partial,false,false
SYN-00098,30349,"Fulton County, GA",1863,4.001,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,evening,wed|thu|fri|sat|sun,8,18:15,02:15,true,North Cargo Area,AIRPORT STATION,4.64,short_drive,5,0,0,0.0,none,true,false
SYN-00099,30349,"Fulton County, GA",1863,5.465,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,evening,tue|wed|thu|fri|sat,8,15:15,23:15,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,false,true
SYN-00100,30349,"Fulton County, GA",1863,8.670,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,overnight,wed|thu|fri|sat,10,19:15,05:15,true,Domestic Terminal,AIRPORT STATION,4.64,short_drive,4,4,4,100.0,full,false,true
SYN-00101,30349,"Fulton County, GA",1863,6.010,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,midday,mon|tue|wed|thu|fri,8,14:15,22:15,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,false,true
